"","parameter","Value","Std. Error","p value","Odds","antibiotic","bacteria"
"1145","age_group85 and Over",-0.101,0.033,0.002,0.904,"ceftriaxone","Klebsiella pneumoniae"
"1146","genderm",0.269,0.017,0,1.309,"ceftriaxone","Klebsiella pneumoniae"
"1147","key_sourceblood",-0.153,0.028,0,0.858,"ceftriaxone","Klebsiella pneumoniae"
"1148","key_sourcegastro",-0.12,0.05,0.015,0.887,"ceftriaxone","Klebsiella pneumoniae"
"1149","key_sourcerespiratory",-0.136,0.028,0,0.873,"ceftriaxone","Klebsiella pneumoniae"
"1150","key_sourceurine",-0.136,0.028,0,0.873,"ceftriaxone","Klebsiella pneumoniae"
"1151","key_sourcewound",-0.11,0.034,0.001,0.896,"ceftriaxone","Klebsiella pneumoniae"
"1152","year_scaled",0.015,0.002,0,1.015,"ceftriaxone","Klebsiella pneumoniae"
"1153","age_group0 to 2 Years",-0.134,0.05,0.007,0.874,"ciprofloxacin","Klebsiella pneumoniae"
"1154","age_group3 to 12 Years",0.008,0.08,0.924,1.008,"ciprofloxacin","Klebsiella pneumoniae"
"1155","age_group13 to 18 Years",-0.069,0.099,0.484,0.933,"ciprofloxacin","Klebsiella pneumoniae"
"1156","age_group65 to 84 Years",-0.032,0.026,0.214,0.968,"ciprofloxacin","Klebsiella pneumoniae"
"1157","age_group85 and Over",-0.211,0.046,0,0.809,"ciprofloxacin","Klebsiella pneumoniae"
"1158","genderm",0.236,0.024,0,1.266,"ciprofloxacin","Klebsiella pneumoniae"
"1159","key_sourceblood",0.122,0.046,0.008,1.13,"ciprofloxacin","Klebsiella pneumoniae"
"1160","key_sourcegastro",0.133,0.071,0.061,1.142,"ciprofloxacin","Klebsiella pneumoniae"
"1161","key_sourcerespiratory",0.031,0.045,0.489,1.032,"ciprofloxacin","Klebsiella pneumoniae"
"1162","key_sourceurine",0.156,0.048,0.001,1.169,"ciprofloxacin","Klebsiella pneumoniae"
"1163","key_sourcewound",0.204,0.053,0,1.226,"ciprofloxacin","Klebsiella pneumoniae"
"1164","year_scaled",-0.293,0.011,0,0.746,"ciprofloxacin","Klebsiella pneumoniae"
"1165","age_group0 to 2 Years",-0.146,0.04,0,0.864,"colistin","Klebsiella pneumoniae"
"1166","age_group3 to 12 Years",-0.105,0.065,0.103,0.9,"colistin","Klebsiella pneumoniae"
"1167","age_group13 to 18 Years",-0.063,0.078,0.418,0.939,"colistin","Klebsiella pneumoniae"
"1168","age_group65 to 84 Years",-0.009,0.02,0.641,0.991,"colistin","Klebsiella pneumoniae"
"1169","age_group85 and Over",-0.107,0.035,0.002,0.899,"colistin","Klebsiella pneumoniae"
"1170","genderm",0.017,0.019,0.346,1.018,"colistin","Klebsiella pneumoniae"
"1171","key_sourceblood",0.207,0.036,0,1.23,"colistin","Klebsiella pneumoniae"
"1172","key_sourcegastro",0.143,0.052,0.006,1.154,"colistin","Klebsiella pneumoniae"
"1173","key_sourcerespiratory",0.091,0.033,0.006,1.095,"colistin","Klebsiella pneumoniae"
"1174","key_sourceurine",0.073,0.034,0.035,1.075,"colistin","Klebsiella pneumoniae"
"1175","key_sourcewound",0.018,0.038,0.643,1.018,"colistin","Klebsiella pneumoniae"
"1176","year_scaled",-0.369,0.004,0,0.691,"colistin","Klebsiella pneumoniae"
"1177","age_group0 to 2 Years",-0.271,0.057,0,0.763,"doripenem","Klebsiella pneumoniae"
"1178","age_group3 to 12 Years",-0.103,0.092,0.267,0.902,"doripenem","Klebsiella pneumoniae"
"1179","age_group13 to 18 Years",-0.087,0.114,0.445,0.917,"doripenem","Klebsiella pneumoniae"
"1180","age_group65 to 84 Years",-0.026,0.027,0.341,0.974,"doripenem","Klebsiella pneumoniae"
"1181","age_group85 and Over",-0.044,0.047,0.349,0.957,"doripenem","Klebsiella pneumoniae"
"1182","genderm",0.075,0.025,0.003,1.078,"doripenem","Klebsiella pneumoniae"
"1183","key_sourceblood",0.089,0.058,0.123,1.093,"doripenem","Klebsiella pneumoniae"
"1184","key_sourcegastro",-0.023,0.066,0.731,0.978,"doripenem","Klebsiella pneumoniae"
"1185","key_sourcerespiratory",0.05,0.042,0.232,1.051,"doripenem","Klebsiella pneumoniae"
"1186","key_sourceurine",0.053,0.043,0.213,1.054,"doripenem","Klebsiella pneumoniae"
"1187","key_sourcewound",0.058,0.047,0.217,1.06,"doripenem","Klebsiella pneumoniae"
"1188","year_scaled",0,0.008,0.991,1,"doripenem","Klebsiella pneumoniae"
"1189","age_group0 to 2 Years",0.263,0.042,0,1.3,"gentamicin","Klebsiella pneumoniae"
"1190","age_group3 to 12 Years",0.003,0.068,0.96,1.003,"gentamicin","Klebsiella pneumoniae"
"1191","age_group13 to 18 Years",-0.047,0.083,0.569,0.954,"gentamicin","Klebsiella pneumoniae"
"1192","age_group65 to 84 Years",-0.071,0.022,0.001,0.931,"gentamicin","Klebsiella pneumoniae"
"1193","age_group85 and Over",-0.262,0.04,0,0.769,"gentamicin","Klebsiella pneumoniae"
"1194","genderm",0.172,0.02,0,1.188,"gentamicin","Klebsiella pneumoniae"
"1195","key_sourceblood",0.226,0.036,0,1.254,"gentamicin","Klebsiella pneumoniae"
"1196","key_sourcegastro",0.096,0.056,0.086,1.101,"gentamicin","Klebsiella pneumoniae"
"1197","key_sourcerespiratory",0.095,0.035,0.007,1.1,"gentamicin","Klebsiella pneumoniae"
"1198","key_sourceurine",0.133,0.038,0,1.142,"gentamicin","Klebsiella pneumoniae"
"1199","key_sourcewound",0.22,0.043,0,1.246,"gentamicin","Klebsiella pneumoniae"
"1200","year_scaled",-0.029,0.007,0,0.972,"gentamicin","Klebsiella pneumoniae"
"1201","age_group0 to 2 Years",-0.276,0.033,0,0.759,"imipenem","Klebsiella pneumoniae"
"1202","age_group3 to 12 Years",-0.264,0.053,0,0.768,"imipenem","Klebsiella pneumoniae"
"1203","age_group13 to 18 Years",-0.224,0.065,0.001,0.799,"imipenem","Klebsiella pneumoniae"
"1204","age_group65 to 84 Years",-0.079,0.017,0,0.924,"imipenem","Klebsiella pneumoniae"
"1205","age_group85 and Over",-0.131,0.029,0,0.877,"imipenem","Klebsiella pneumoniae"
"1206","genderm",0.096,0.015,0,1.101,"imipenem","Klebsiella pneumoniae"
"1207","key_sourceblood",0.284,0.028,0,1.328,"imipenem","Klebsiella pneumoniae"
"1208","key_sourcegastro",0.277,0.043,0,1.319,"imipenem","Klebsiella pneumoniae"
"1209","key_sourcerespiratory",0.247,0.026,0,1.281,"imipenem","Klebsiella pneumoniae"
"1210","key_sourceurine",0.194,0.027,0,1.214,"imipenem","Klebsiella pneumoniae"
"1211","key_sourcewound",0.185,0.03,0,1.203,"imipenem","Klebsiella pneumoniae"
"1212","year_scaled",0.023,0.002,0,1.023,"imipenem","Klebsiella pneumoniae"
"1213","age_group0 to 2 Years",-0.405,0.024,0,0.667,"levofloxacin","Klebsiella pneumoniae"
"1214","age_group3 to 12 Years",-0.251,0.039,0,0.778,"levofloxacin","Klebsiella pneumoniae"
"1215","age_group13 to 18 Years",-0.257,0.047,0,0.773,"levofloxacin","Klebsiella pneumoniae"
"1216","age_group65 to 84 Years",-0.016,0.013,0.216,0.985,"levofloxacin","Klebsiella pneumoniae"
"1217","age_group85 and Over",-0.106,0.022,0,0.9,"levofloxacin","Klebsiella pneumoniae"
"1218","genderm",0.246,0.012,0,1.28,"levofloxacin","Klebsiella pneumoniae"
"1219","key_sourceblood",0.086,0.02,0,1.09,"levofloxacin","Klebsiella pneumoniae"
"1220","key_sourcegastro",0.018,0.032,0.57,1.018,"levofloxacin","Klebsiella pneumoniae"
"1221","key_sourcerespiratory",0.035,0.019,0.07,1.035,"levofloxacin","Klebsiella pneumoniae"
"1222","key_sourceurine",0.102,0.02,0,1.107,"levofloxacin","Klebsiella pneumoniae"
"1223","key_sourcewound",0.155,0.023,0,1.168,"levofloxacin","Klebsiella pneumoniae"
"1224","year_scaled",0.098,0.001,0,1.102,"levofloxacin","Klebsiella pneumoniae"
"1225","age_group0 to 2 Years",-0.233,0.029,0,0.792,"meropenem","Klebsiella pneumoniae"
"1226","age_group3 to 12 Years",-0.061,0.048,0.202,0.941,"meropenem","Klebsiella pneumoniae"
"1227","age_group13 to 18 Years",-0.086,0.057,0.13,0.918,"meropenem","Klebsiella pneumoniae"
"1228","age_group65 to 84 Years",-0.072,0.015,0,0.93,"meropenem","Klebsiella pneumoniae"
"1229","age_group85 and Over",-0.209,0.026,0,0.812,"meropenem","Klebsiella pneumoniae"
"1230","genderm",0.12,0.014,0,1.128,"meropenem","Klebsiella pneumoniae"
"1231","key_sourceblood",0.256,0.024,0,1.292,"meropenem","Klebsiella pneumoniae"
"1232","key_sourcegastro",-0.3,0.039,0,0.741,"meropenem","Klebsiella pneumoniae"
"1233","key_sourcerespiratory",-0.183,0.023,0,0.833,"meropenem","Klebsiella pneumoniae"
"1234","key_sourceurine",-0.22,0.024,0,0.802,"meropenem","Klebsiella pneumoniae"
"1235","key_sourcewound",-0.169,0.028,0,0.844,"meropenem","Klebsiella pneumoniae"
"1236","year_scaled",0.005,0.002,0.001,1.005,"meropenem","Klebsiella pneumoniae"
"1237","age_group0 to 2 Years",-0.526,0.103,0,0.591,"meropenem vaborbactam","Klebsiella pneumoniae"
"1238","age_group3 to 12 Years",-0.373,0.157,0.018,0.689,"meropenem vaborbactam","Klebsiella pneumoniae"
"1239","age_group13 to 18 Years",-0.569,0.214,0.008,0.566,"meropenem vaborbactam","Klebsiella pneumoniae"
"1240","age_group65 to 84 Years",-0.116,0.046,0.012,0.891,"meropenem vaborbactam","Klebsiella pneumoniae"
"1241","age_group85 and Over",-0.571,0.1,0,0.565,"meropenem vaborbactam","Klebsiella pneumoniae"
"1242","genderm",0.159,0.044,0,1.173,"meropenem vaborbactam","Klebsiella pneumoniae"
"1243","key_sourceblood",0.087,0.085,0.308,1.091,"meropenem vaborbactam","Klebsiella pneumoniae"
"1244","key_sourcegastro",0.457,0.12,0,1.58,"meropenem vaborbactam","Klebsiella pneumoniae"
"1245","key_sourcerespiratory",0.069,0.084,0.409,1.072,"meropenem vaborbactam","Klebsiella pneumoniae"
"1246","key_sourceurine",-0.08,0.091,0.378,0.923,"meropenem vaborbactam","Klebsiella pneumoniae"
"1247","key_sourcewound",0.176,0.097,0.068,1.193,"meropenem vaborbactam","Klebsiella pneumoniae"
"1248","year_scaled",0.171,0.043,0,1.186,"meropenem vaborbactam","Klebsiella pneumoniae"
"1249","age_group0 to 2 Years",-0.149,0.037,0,0.861,"minocycline","Klebsiella pneumoniae"
"1250","age_group3 to 12 Years",-0.038,0.058,0.509,0.963,"minocycline","Klebsiella pneumoniae"
"1251","age_group13 to 18 Years",-0.186,0.069,0.007,0.83,"minocycline","Klebsiella pneumoniae"
"1252","age_group65 to 84 Years",-0.04,0.019,0.034,0.961,"minocycline","Klebsiella pneumoniae"
"1253","age_group85 and Over",-0.129,0.033,0,0.879,"minocycline","Klebsiella pneumoniae"
"1254","genderm",0.15,0.017,0,1.162,"minocycline","Klebsiella pneumoniae"
"1255","key_sourceblood",-0.056,0.027,0.034,0.945,"minocycline","Klebsiella pneumoniae"
"1256","key_sourcegastro",-0.101,0.052,0.052,0.904,"minocycline","Klebsiella pneumoniae"
"1257","key_sourcerespiratory",-0.06,0.027,0.027,0.942,"minocycline","Klebsiella pneumoniae"
"1258","key_sourceurine",-0.05,0.028,0.071,0.951,"minocycline","Klebsiella pneumoniae"
"1259","key_sourcewound",-0.037,0.034,0.282,0.964,"minocycline","Klebsiella pneumoniae"
"1260","year_scaled",-0.043,0.002,0,0.958,"minocycline","Klebsiella pneumoniae"
"1261","age_group0 to 2 Years",-0.064,0.024,0.008,0.938,"piperacillin tazobactam","Klebsiella pneumoniae"
"1262","age_group3 to 12 Years",-0.041,0.039,0.295,0.96,"piperacillin tazobactam","Klebsiella pneumoniae"
"1263","age_group13 to 18 Years",-0.21,0.047,0,0.81,"piperacillin tazobactam","Klebsiella pneumoniae"
"1264","age_group65 to 84 Years",-0.045,0.012,0,0.956,"piperacillin tazobactam","Klebsiella pneumoniae"
"1265","age_group85 and Over",-0.223,0.022,0,0.8,"piperacillin tazobactam","Klebsiella pneumoniae"
"1266","genderm",0.217,0.012,0,1.242,"piperacillin tazobactam","Klebsiella pneumoniae"
"1267","key_sourceblood",-0.06,0.02,0.003,0.942,"piperacillin tazobactam","Klebsiella pneumoniae"
"1268","key_sourcegastro",0.082,0.031,0.009,1.085,"piperacillin tazobactam","Klebsiella pneumoniae"
"1269","key_sourcerespiratory",0.064,0.019,0.001,1.066,"piperacillin tazobactam","Klebsiella pneumoniae"
"1270","key_sourceurine",-0.029,0.02,0.136,0.971,"piperacillin tazobactam","Klebsiella pneumoniae"
"1271","key_sourcewound",0.117,0.023,0,1.124,"piperacillin tazobactam","Klebsiella pneumoniae"
"1272","year_scaled",0.068,0.001,0,1.071,"piperacillin tazobactam","Klebsiella pneumoniae"
"1273","age_group0 to 2 Years",-0.272,0.026,0,0.762,"tigecycline","Klebsiella pneumoniae"
"1274","age_group3 to 12 Years",-0.098,0.042,0.02,0.907,"tigecycline","Klebsiella pneumoniae"
"1275","age_group13 to 18 Years",-0.146,0.05,0.003,0.864,"tigecycline","Klebsiella pneumoniae"
"1276","age_group65 to 84 Years",0.014,0.013,0.28,1.014,"tigecycline","Klebsiella pneumoniae"
"1277","age_group85 and Over",-0.055,0.023,0.019,0.946,"tigecycline","Klebsiella pneumoniae"
"1278","genderm",0.123,0.012,0,1.131,"tigecycline","Klebsiella pneumoniae"
"1279","key_sourceblood",-0.089,0.021,0,0.915,"tigecycline","Klebsiella pneumoniae"
"1280","key_sourcegastro",0.061,0.035,0.076,1.063,"tigecycline","Klebsiella pneumoniae"
"1281","key_sourcerespiratory",0.024,0.02,0.23,1.024,"tigecycline","Klebsiella pneumoniae"
"1282","key_sourceurine",-0.002,0.021,0.925,0.998,"tigecycline","Klebsiella pneumoniae"
"1283","key_sourcewound",0.022,0.024,0.353,1.022,"tigecycline","Klebsiella pneumoniae"
"1284","year_scaled",-0.017,0.001,0,0.983,"tigecycline","Klebsiella pneumoniae"
"1285","age_group0 to 2 Years",-0.151,0.047,0.001,0.859,"trimethoprim sulfa","Klebsiella pneumoniae"
"1286","age_group3 to 12 Years",0.053,0.074,0.473,1.054,"trimethoprim sulfa","Klebsiella pneumoniae"
"1287","age_group13 to 18 Years",0.027,0.093,0.77,1.027,"trimethoprim sulfa","Klebsiella pneumoniae"
"1288","age_group65 to 84 Years",-0.096,0.024,0,0.909,"trimethoprim sulfa","Klebsiella pneumoniae"
"1289","age_group85 and Over",-0.256,0.043,0,0.774,"trimethoprim sulfa","Klebsiella pneumoniae"
"1290","genderm",0.231,0.022,0,1.259,"trimethoprim sulfa","Klebsiella pneumoniae"
"1291","key_sourceblood",0.836,0.04,0,2.307,"trimethoprim sulfa","Klebsiella pneumoniae"
"1292","key_sourcegastro",0.758,0.065,0,2.133,"trimethoprim sulfa","Klebsiella pneumoniae"
"1293","key_sourcerespiratory",0.616,0.039,0,1.851,"trimethoprim sulfa","Klebsiella pneumoniae"
"1294","key_sourceurine",0.921,0.042,0,2.512,"trimethoprim sulfa","Klebsiella pneumoniae"
"1295","key_sourcewound",0.858,0.047,0,2.359,"trimethoprim sulfa","Klebsiella pneumoniae"
"1296","year_scaled",0.229,0.007,0,1.258,"trimethoprim sulfa","Klebsiella pneumoniae"
